STATE,DISTRICT,MARKET,COMMODITY,DATE,MIN_PRICE,MAX_PRICE,MOD_PRICE
West Bengal,Medinipur(E),Tamluk (Medinipur E),Bhindi(Ladies Finger),03/04/2019,1848.0,5020.0,1673.0
West Bengal,Puruliya,Kasipur,Bhindi(Ladies Finger),16/09/2019,1752.0,5030.0,1671.0
Haryana,Faridabad,Hodal,Galgal(Lemon),28/04/2019,7424.0,5045.0,13398.0
Himachal Pradesh,Mandi,Chail Chowk,Galgal(Lemon),27/11/2019,7273.0,4983.0,12946.0
Kerala,Alappuzha,Cherthala,Galgal(Lemon),11/05/2019,7034.0,4838.0,13023.0
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),19/01/2019,6509.0,4498.0,11488.0
Uttar Pradesh,Agra,Agra,Galgal(Lemon),29/06/2019,6090.0,4305.0,11173.0
Himachal Pradesh,Mandi,Chail Chowk,Galgal(Lemon),23/11/2019,7273.0,4983.0,12946.0
Kerala,Ernakulam,Piravam,Galgal(Lemon),10/08/2019,7115.0,4767.0,12410.0
Kerala,Ernakulam,Piravam,Galgal(Lemon),04/11/2019,7115.0,4767.0,12409.0
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),02/01/2019,6509.0,4497.0,11488.0
Punjab,Hoshiarpur,Dasuya,Galgal(Lemon),25/01/2019,6509.0,4498.0,11487.0
Assam,Bangaigaon,Bongiagaon,Lentil(Masur),22/12/2019,6228.0,4657.0,6788.0
Jharkhand,Ranchi,Khunti,Lentil(Masur),12/07/2019,6228.0,4196.0,5962.0
Madhya Pradesh,Panna,Panna,Lentil(Masur),28/02/2019,6215.0,4036.0,5983.0
Manipur,Thoubal,Thoubal,Lentil(Masur),13/10/2019,6204.0,3885.0,5594.0
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Lentil(Masur),29/04/2019,5827.0,3554.0,6217.0
Bihar,Bhagalpur,Bhagalpur,Lentil(Masur),05/02/2019,6207.0,4600.0,6739.0
Chattisgarh,Bilaspur,Munguli,Lentil(Masur),19/10/2019,6335.0,4511.0,6542.0
Manipur,Imphal East,Lamlong Bazaar,Lentil(Masur),12/08/2019,6103.0,3991.0,6472.0
Rajasthan,Jhalawar,Jhalarapatan,Lentil(Masur),11/02/2019,5924.0,3794.0,6512.0
West Bengal,Medinipur(W),Medinipur(West),Lentil(Masur),17/08/2019,5715.0,3465.0,6318.0
Andaman and Nicobar,South Andaman,Port Blair,Mint(Pudina),27/05/2019,4026.0,4292.0,2880.0
Gujarat,Ahmedabad,Ahmedabad(Rajnagar sub yard),Mint(Pudina),12/01/2019,3883.0,4206.0,3256.0
Kerala,Kollam,Kollam,Mint(Pudina),20/07/2019,4006.0,3819.0,3078.0
Punjab,Tarntaran,Harike,Mint(Pudina),05/05/2019,3913.0,3466.0,2934.0
Rajasthan,Alwar,Alwar(FV),Mint(Pudina),01/05/2019,3813.0,3549.0,3327.0
Gujarat,Ahmedabad,Ahmedabad(Rajnagar sub yard),Mint(Pudina),13/07/2019,3887.0,4207.0,3258.0
Maharashtra,Nagpur,Kamthi,Mint(Pudina),26/10/2019,3984.0,3705.0,3039.0
Gujarat,Dahod,Dahod(Veg. Market),Mint(Pudina),03/04/2019,3935.0,4166.0,3160.0
Punjab,Tarntaran,Harike,Mint(Pudina),03/03/2019,3911.0,3465.0,2934.0
Rajasthan,Jodhpur,Jodhpur(F&V)(Paota),Mint(Pudina),30/08/2019,3906.0,3477.0,3122.0
Andhra Pradesh,Srikakulam,Kanchili,Paddy(Dhan),13/06/2019,1746.0,3949.0,1848.0
Chattisgarh,Surguja,Sitapur,Paddy(Dhan),19/01/2019,1831.0,3760.0,1852.0
Haryana,Yamuna Nagar,Bilaspur,Paddy(Dhan),22/10/2019,1748.0,3712.0,1849.0
